title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update,cluster
WWF Raw (2002),XB,Fighting,THQ,Anchor,6.5,0.55,0.4,0.0,0.13,0.02,2002-02-11,2018-01-06,4
Poochy & Yoshi's Woolly World,3DS,Platform,Nintendo,Good-Feel,7.5,0.55,0.2,0.17,0.16,0.03,2017-02-03,2018-01-07,4
Just Dance 2015,XOne,Music,Ubisoft,Ubisoft Paris,8.1,0.54,0.36,0.0,0.13,0.05,2014-10-21,2018-04-03,2
Dragon Ball: Fusions,3DS,Role-Playing,Namco Bandai Games,Ganbarion,6.3,0.54,0.17,0.24,0.09,0.03,2016-11-22,2018-01-14,4
Mario Tennis Ultra Smash,WiiU,Sports,Nintendo,Camelot Software Planning,6.1,0.54,0.16,0.15,0.2,0.03,2015-11-20,2018-03-21,0
ModNation Racers,PSP,Racing,Sony Computer Entertainment,SCE San Diego Studio,7.7,0.54,0.11,0.02,0.27,0.14,2010-05-25,2018-02-03,4
Sonic & Sega All-Stars Racing Transformed,WiiU,Racing,Sega,Sumo Digital,6.9,0.53,0.19,0.02,0.28,0.04,2012-11-18,2020-09-14,4
F1 2018,PS4,Racing,Codemasters,Codemasters Birmingham,8.9,0.53,0.05,0.01,0.39,0.08,2018-08-24,2018-09-26,2
LEGO The Incredibles,PS4,Action,Warner Bros. Interactive Entertainment,Traveller's Tales,6.5,0.53,0.18,0.0,0.27,0.09,2018-06-15,2018-11-06,4
Sesame Street: Once Upon A Monster,X360,Education,Warner Bros. Interactive,Double Fine Productions,8.0,0.52,0.39,0.0,0.09,0.04,2011-10-11,2022-07-10,4
DiRT Rally,PS4,Racing,Codemasters,Codemasters,8.3,0.51,0.13,0.0,0.3,0.08,2016-04-05,2018-01-17,2
Fire Emblem Warriors,NS,Action,Nintendo,Omega Force,7.3,0.51,0.22,0.1,0.14,0.04,2017-10-20,2020-08-03,4
Halo Wars 2,XOne,Strategy,Microsoft Studios,Creative Assembly,7.0,0.51,0.31,0.0,0.15,0.05,2017-02-21,2018-02-24,4
DC Universe Online,PS3,MMO,Sony Online Entertainment,WBIE,6.5,0.51,0.35,0.0,0.11,0.06,2011-01-11,2018-09-15,4
